V;K
-988.6;235
-862.5;240
-735.8;245
-608.3;250
-479.6;255
-350.2;260
-219.9;265
-89.4;270
41.6;275
171.9;280
303.2;285
435.1;290
567.7;295
701.6;300
835.9;305
971.5;310
1108.4;315
1245.7;320
1384;325
1523.3;330
1663.5;335
1804.8;340
1947.1;345
2090.3;350
2234.4;355
2379.1;360
2524.4;365
2670.4;370
2818.1;375
2966.4;380
3115.4;385
3265.7;390
3416.7;395
3569;400
3721.7;405
3875.4;410
4030;415
4185.7;420
4341.9;425
4498.7;430
4656.7;435
4815.1;440
4974.5;445
5134.5;450
5295.3;455
5457.3;460
5619.7;465
5782.7;470
5946.4;475
6111.5;480
6276.5;485
6442.2;490
6609.3;495
6776.7;500
6944.7;505
7113.1;510
7282.5;515
7452.5;520
7623.1;525
7794.8;530
7966.9;535
8140;540
8313.7;545
8487.8;550
8662.5;555
8837.6;560
9013.4;565
9189.5;570
9366.5;575
9543.9;580
9721.4;585
9900.1;590
10078.8;595
10257.9;600
10437.6;605
10617.7;610
10798.5;615
10979.2;620
11160.3;625
11342.6;630
11525.1;635
11707.7;640
11891.2;645
12074.4;650
12258.3;655
12442.6;660
12627.5;665
12812.7;670
12998.2;675
13183.8;680
13370.3;685
13556.6;690
13743.5;695
13930.7;700
14118.2;705
14305.5;710
14493.7;715
14682.2;720
14870.6;725
15060.3;730
15250.2;735
15439.9;740
15630.2;745
15820.5;750
16011.2;755
16202.6;760
16393.9;765
16585.2;770
16776.5;775
16968.2;780
17160.5;785
17352.8;790
17545.2;795
17737.9;800
17931.2;805
18124.5;810
18317.8;815
18511.1;820
18704.5;825
18898.1;830
19092.5;835
19286.8;840
19481.1;845
19675.4;850
19869.7;855
20064.4;860
20259.4;865
20454.1;870
20649.4;875
20844.7;880
21040;885
21235.4;890
21430.7;895
21626.4;900
21822.3;905
22018;910
22214;915
22409.6;920
22606;925
22802.3;930
22998.6;935
23194.9;940
23391.2;945
23587.6;950
23783.9;955
23980.2;960
24176.5;965
24373.2;970
24570.2;975
24766.5;980
24963.2;985
25160.1;990
25356.4;995
25553.1;1000
25750.1;1005
25946.8;1010
26143.7;1015
26340.4;1020
26537.4;1025
26734;1030
26930.9;1035
27128.2;1040
27325.1;1045
27522.4;1050
27719.3;1055
27916.6;1060
28113.2;1065
28310.1;1070
28507.4;1075
28704;1080
28900.6;1085
29097.2;1090
29294.2;1095
29491.4;1100
29688;1105
29884.6;1110
30081.2;1115
30277.8;1120
30474;1125
30670;1130
30866.6;1135
31063.2;1140
31259.4;1145
31455.4;1150
31651.6;1155
31847.6;1160
32043.8;1165
32239.4;1170
32435;1175
32630.6;1180
32826.2;1185
33021.8;1190
33217.4;1195
33413;1200
33608.6;1205
33803.9;1210
33998.5;1215
34193.4;1220
34388.8;1225
34584;1230
34779.2;1235
34974.4;1240
35169.5;1245
35364.3;1250
35558.9;1255
35753.7;1260
35947.9;1265
36142.4;1270
36337.2;1275
36531;1280
36724.6;1285
36918.7;1290
37112.5;1295
37305.7;1300
37498.9;1305
37692.1;1310
37885.2;1315
38078.4;1320
38271.2;1325
38463.7;1330
38656.6;1335
38848.7;1340
39040.9;1345
39233.1;1350
39424.9;1355
39616.1;1360
39807.6;1365
39999.4;1370
40190.2;1375
