V;DegC
-988.6;-38.15
-862.5;-33.15
-735.8;-28.15
-608.3;-23.15
-479.6;-18.15
-350.2;-13.15
-219.9;-8.15
-89.4;-3.15
41.6;1.85
171.9;6.85
303.2;11.85
435.1;16.85
567.7;21.85
701.6;26.85
835.9;31.85
971.5;36.85
1108.4;41.85
1245.7;46.85
1384;51.85
1523.3;56.85
1663.5;61.85
1804.8;66.85
1947.1;71.85
2090.3;76.85
2234.4;81.85
2379.1;86.85
2524.4;91.85
2670.4;96.85
2818.1;101.85
2966.4;106.85
3115.4;111.85
3265.7;116.85
3416.7;121.85
3569;126.85
3721.7;131.85
3875.4;136.85
4030;141.85
4185.7;146.85
4341.9;151.85
4498.7;156.85
4656.7;161.85
4815.1;166.85
4974.5;171.85
5134.5;176.85
5295.3;181.85
5457.3;186.85
5619.7;191.85
5782.7;196.85
5946.4;201.85
6111.5;206.85
6276.5;211.85
6442.2;216.85
6609.3;221.85
6776.7;226.85
6944.7;231.85
7113.1;236.85
7282.5;241.85
7452.5;246.85
7623.1;251.85
7794.8;256.85
7966.9;261.85
8140;266.85
8313.7;271.85
8487.8;276.85
8662.5;281.85
8837.6;286.85
9013.4;291.85
9189.5;296.85
9366.5;301.85
9543.9;306.85
9721.4;311.85
9900.1;316.85
10078.8;321.85
10257.9;326.85
10437.6;331.85
10617.7;336.85
10798.5;341.85
10979.2;346.85
11160.3;351.85
11342.6;356.85
11525.1;361.85
11707.7;366.85
11891.2;371.85
12074.4;376.85
12258.3;381.85
12442.6;386.85
12627.5;391.85
12812.7;396.85
12998.2;401.85
13183.8;406.85
13370.3;411.85
13556.6;416.85
13743.5;421.85
13930.7;426.85
14118.2;431.85
14305.5;436.85
14493.7;441.85
14682.2;446.85
14870.6;451.85
15060.3;456.85
15250.2;461.85
15439.9;466.85
15630.2;471.85
15820.5;476.85
16011.2;481.85
16202.6;486.85
16393.9;491.85
16585.2;496.85
16776.5;501.85
16968.2;506.85
17160.5;511.85
17352.8;516.85
17545.2;521.85
17737.9;526.85
17931.2;531.85
18124.5;536.85
18317.8;541.85
18511.1;546.85
18704.5;551.85
18898.1;556.85
19092.5;561.85
19286.8;566.85
19481.1;571.85
19675.4;576.85
19869.7;581.85
20064.4;586.85
20259.4;591.85
20454.1;596.85
20649.4;601.85
20844.7;606.85
21040;611.85
21235.4;616.85
21430.7;621.85
21626.4;626.85
21822.3;631.85
22018;636.85
22214;641.85
22409.6;646.85
22606;651.85
22802.3;656.85
22998.6;661.85
23194.9;666.85
23391.2;671.85
23587.6;676.85
23783.9;681.85
23980.2;686.85
24176.5;691.85
24373.2;696.85
24570.2;701.85
24766.5;706.85
24963.2;711.85
25160.1;716.85
25356.4;721.85
25553.1;726.85
25750.1;731.85
25946.8;736.85
26143.7;741.85
26340.4;746.85
26537.4;751.85
26734;756.85
26930.9;761.85
27128.2;766.85
27325.1;771.85
27522.4;776.85
27719.3;781.85
27916.6;786.85
28113.2;791.85
28310.1;796.85
28507.4;801.85
28704;806.85
28900.6;811.85
29097.2;816.85
29294.2;821.85
29491.4;826.85
29688;831.85
29884.6;836.85
30081.2;841.85
30277.8;846.85
30474;851.85
30670;856.85
30866.6;861.85
31063.2;866.85
31259.4;871.85
31455.4;876.85
31651.6;881.85
31847.6;886.85
32043.8;891.85
32239.4;896.85
32435;901.85
32630.6;906.85
32826.2;911.85
33021.8;916.85
33217.4;921.85
33413;926.85
33608.6;931.85
33803.9;936.85
33998.5;941.85
34193.4;946.85
34388.8;951.85
34584;956.85
34779.2;961.85
34974.4;966.85
35169.5;971.85
35364.3;976.85
35558.9;981.85
35753.7;986.85
35947.9;991.85
36142.4;996.85
36337.2;1001.85
36531;1006.85
36724.6;1011.85
36918.7;1016.85
37112.5;1021.85
37305.7;1026.85
37498.9;1031.85
37692.1;1036.85
37885.2;1041.85
38078.4;1046.85
38271.2;1051.85
38463.7;1056.85
38656.6;1061.85
38848.7;1066.85
39040.9;1071.85
39233.1;1076.85
39424.9;1081.85
39616.1;1086.85
39807.6;1091.85
39999.4;1096.85
40190.2;1101.85
